Epoch 1, Train Loss: 11.979066391614055, Validation Loss: 7.698517506063388, Training Time: 17.10027050971985
Epoch 2, Train Loss: 2.211570966769543, Validation Loss: 3.4182825630728333, Training Time: 16.495775938034058
Epoch 3, Train Loss: 1.5833582697802613, Validation Loss: 9.71387457201766, Training Time: 16.63675093650818
Epoch 4, Train Loss: 1.3098433273022199, Validation Loss: 4.114359503405896, Training Time: 17.126553535461426
Epoch 5, Train Loss: 1.141226615918949, Validation Loss: 4.942847515201999, Training Time: 16.8317608833313
Epoch 6, Train Loss: 1.0216980951590802, Validation Loss: 1.9927174767172364, Training Time: 16.72116994857788
Epoch 7, Train Loss: 0.9621214484968957, Validation Loss: 1.1705198548986464, Training Time: 17.13329315185547
Epoch 8, Train Loss: 0.915426804552415, Validation Loss: 4.2836022075627245, Training Time: 16.984681844711304
Epoch 9, Train Loss: 0.8772467669232181, Validation Loss: 19.67598238701745, Training Time: 16.89593267440796
Epoch 10, Train Loss: 0.8372700187335232, Validation Loss: 1.3204003127111, Training Time: 16.839128971099854
Epoch 11, Train Loss: 0.7949170987414327, Validation Loss: 8.406783074880561, Training Time: 16.878242254257202
Epoch 12, Train Loss: 0.780280750066807, Validation Loss: 1.607892824484048, Training Time: 16.804880142211914
Epoch 13, Train Loss: 0.7580964524616436, Validation Loss: 0.9408094121424931, Training Time: 16.883399724960327
Epoch 14, Train Loss: 0.7272920188599826, Validation Loss: 8.503616661842466, Training Time: 17.031747102737427
Epoch 15, Train Loss: 0.6982214700210316, Validation Loss: 1.5636853179463415, Training Time: 16.739618062973022
Epoch 16, Train Loss: 0.7029167203772341, Validation Loss: 2.1670619787534795, Training Time: 17.3335919380188
Epoch 17, Train Loss: 0.683310061291657, Validation Loss: 2.332577073816252, Training Time: 16.937669038772583
Epoch 18, Train Loss: 0.6734270012821648, Validation Loss: 1.6953248577381634, Training Time: 16.818530797958374
Epoch 19, Train Loss: 0.6614799696644085, Validation Loss: 1.4441625859344518, Training Time: 16.33931803703308
Epoch 20, Train Loss: 0.6502425683050219, Validation Loss: 2.302707859073213, Training Time: 16.813551664352417
Epoch 21, Train Loss: 0.6431876015382495, Validation Loss: 3.205566867143252, Training Time: 17.01403784751892
Epoch 22, Train Loss: 0.6268953379587558, Validation Loss: 3.9573943870600408, Training Time: 17.094889879226685
Epoch 23, Train Loss: 0.6311091673516193, Validation Loss: 3.702078201431722, Training Time: 17.117482900619507
Epoch 24, Train Loss: 0.6307652995123489, Validation Loss: 2.5176985057966434, Training Time: 17.461584329605103
Epoch 25, Train Loss: 0.6140445362480121, Validation Loss: 3.9874026803615132, Training Time: 16.91189193725586
Epoch 26, Train Loss: 0.604836137653868, Validation Loss: 2.3692021556955427, Training Time: 16.938690185546875
Epoch 27, Train Loss: 0.5965909382085093, Validation Loss: 6.041290958094543, Training Time: 16.963422060012817
Epoch 28, Train Loss: 0.6007488874691866, Validation Loss: 3.38046852231833, Training Time: 16.877902269363403
Epoch 29, Train Loss: 0.5931645760661641, Validation Loss: 2.0941012009944657, Training Time: 16.836580991744995
Epoch 30, Train Loss: 0.5817543253663955, Validation Loss: 1.3293101556145042, Training Time: 16.980441331863403
Epoch 31, Train Loss: 0.5765408112037065, Validation Loss: 2.3278528661814017, Training Time: 17.133593320846558
Epoch 32, Train Loss: 0.5725538365224832, Validation Loss: 15.887039980016498, Training Time: 17.158482789993286
Epoch 33, Train Loss: 0.561017314608495, Validation Loss: 1.6622820005459926, Training Time: 17.152119398117065
Epoch 34, Train Loss: 0.5653918951923096, Validation Loss: 2.7877068858652567, Training Time: 16.068286180496216
Epoch 35, Train Loss: 0.5567471407699409, Validation Loss: 4.552147202244193, Training Time: 17.071792602539062
Epoch 36, Train Loss: 0.5540580132036003, Validation Loss: 1.3562250684265627, Training Time: 17.035733938217163
Epoch 37, Train Loss: 0.555777915672721, Validation Loss: 2.498377085001151, Training Time: 16.816726684570312
Epoch 38, Train Loss: 0.5521422671081495, Validation Loss: 9.608839829942173, Training Time: 17.02089214324951
Epoch 39, Train Loss: 0.5403806987366361, Validation Loss: 1.6477144668992971, Training Time: 16.859873294830322
Epoch 40, Train Loss: 0.5494313974944163, Validation Loss: 2.941640614386875, Training Time: 17.06799578666687
Epoch 41, Train Loss: 0.5357917985236825, Validation Loss: 5.042697435846178, Training Time: 17.033490896224976
Epoch 42, Train Loss: 0.5359387949009751, Validation Loss: 2.73659963404621, Training Time: 17.078131914138794
Epoch 43, Train Loss: 0.5333113431288087, Validation Loss: 1.5408294317953743, Training Time: 17.181828260421753
Epoch 44, Train Loss: 0.536452286523414, Validation Loss: 1.7173750084356045, Training Time: 17.174846410751343
Epoch 45, Train Loss: 0.5275592243835412, Validation Loss: 6.777431160817028, Training Time: 17.44958186149597
Epoch 46, Train Loss: 0.5264507907829358, Validation Loss: 12.844456016344626, Training Time: 16.943630695343018
Epoch 47, Train Loss: 0.5286616418923306, Validation Loss: 0.7235523330438756, Training Time: 16.955514907836914
Epoch 48, Train Loss: 0.519868199740077, Validation Loss: 4.573409638071168, Training Time: 17.20059061050415
Epoch 49, Train Loss: 0.5165865673036242, Validation Loss: 1.8543949209271382, Training Time: 17.553091049194336
Epoch 50, Train Loss: 0.5116603863000904, Validation Loss: 6.243090240734695, Training Time: 16.65989637374878
