Epoch 1, Train Loss: 5.169226428745854, Validation Loss: 3.2047172343873647, Training Time: 214.58791732788086
Epoch 2, Train Loss: 1.8018635165941894, Validation Loss: 2.1057426106013364, Training Time: 214.91158151626587
Epoch 3, Train Loss: 1.5693385760785095, Validation Loss: 6.1021293056559545, Training Time: 214.88733053207397
Epoch 4, Train Loss: 1.4526008739252114, Validation Loss: 2.7518761949337875, Training Time: 215.33064556121826
Epoch 5, Train Loss: 1.3718557568637744, Validation Loss: 1.7083002813371684, Training Time: 215.01573705673218
Epoch 6, Train Loss: 1.3054361437635702, Validation Loss: 3.2809475763233187, Training Time: 214.90764164924622
Epoch 7, Train Loss: 1.2584504378222454, Validation Loss: 10.306613538801557, Training Time: 215.7674629688263
Epoch 8, Train Loss: 1.2092636119990856, Validation Loss: 3.302684391359901, Training Time: 214.98244261741638
Epoch 9, Train Loss: 1.170189857688525, Validation Loss: 1.8491911416768878, Training Time: 215.53882431983948
Epoch 10, Train Loss: 1.1360918310263344, Validation Loss: 1.9058832310811484, Training Time: 215.4189577102661
Epoch 11, Train Loss: 1.1093749161576298, Validation Loss: 1.7495638645514047, Training Time: 215.0104649066925
Epoch 12, Train Loss: 1.077373020239854, Validation Loss: 2.0069319490430186, Training Time: 215.27329444885254
Epoch 13, Train Loss: 1.0499516252555325, Validation Loss: 2.078452640422576, Training Time: 215.127286195755
Epoch 14, Train Loss: 1.0250349015611964, Validation Loss: 1.48195663861644, Training Time: 215.19545722007751
Epoch 15, Train Loss: 1.0046757599742142, Validation Loss: 1.7951898518867588, Training Time: 215.40719175338745
Epoch 16, Train Loss: 0.9833830325696603, Validation Loss: 2.539327447303226, Training Time: 215.1290090084076
Epoch 17, Train Loss: 0.9630478597450691, Validation Loss: 1.647554976991234, Training Time: 215.42339658737183
Epoch 18, Train Loss: 0.9479944021951386, Validation Loss: 1.6937139992001828, Training Time: 215.06906390190125
Epoch 19, Train Loss: 0.9243709715052222, Validation Loss: 2.39910142825096, Training Time: 215.66836309432983
Epoch 20, Train Loss: 0.9098993634168445, Validation Loss: 1.3710593889081861, Training Time: 215.49336004257202
Epoch 21, Train Loss: 0.8936591898220385, Validation Loss: 1.4738170443725946, Training Time: 215.7297375202179
Epoch 22, Train Loss: 0.8765089370198046, Validation Loss: 7.3077203718911345, Training Time: 215.87718105316162
Epoch 23, Train Loss: 0.8636353191251229, Validation Loss: 2.6126859533050637, Training Time: 215.51960110664368
Epoch 24, Train Loss: 0.8497424671661277, Validation Loss: 1.5790952725104739, Training Time: 215.48298048973083
Epoch 25, Train Loss: 0.8319713782728853, Validation Loss: 2.1867718689270417, Training Time: 215.26154971122742
Epoch 26, Train Loss: 0.8206294136788049, Validation Loss: 1.5129600150936717, Training Time: 215.42324805259705
Epoch 27, Train Loss: 0.8096735866472987, Validation Loss: 2.9235585365343484, Training Time: 217.4254720211029
Epoch 28, Train Loss: 0.7987984291636027, Validation Loss: 3.704702566874876, Training Time: 215.54118752479553
Epoch 29, Train Loss: 0.7843649914158799, Validation Loss: 1.5393768228782974, Training Time: 215.91682600975037
Epoch 30, Train Loss: 0.7719343928970296, Validation Loss: 1.6765117453905345, Training Time: 215.32385754585266
Epoch 31, Train Loss: 0.7648890246352821, Validation Loss: 7.168832867455016, Training Time: 215.26895928382874
Epoch 32, Train Loss: 0.7523941208324103, Validation Loss: 4.325612775169233, Training Time: 215.92761659622192
Epoch 33, Train Loss: 0.7432785186949087, Validation Loss: 1.8040197078319338, Training Time: 215.47358989715576
Epoch 34, Train Loss: 0.7339198568781201, Validation Loss: 3.639028431637601, Training Time: 215.2754454612732
Epoch 35, Train Loss: 0.7245742412725674, Validation Loss: 1.3157026378910874, Training Time: 215.5523715019226
Epoch 36, Train Loss: 0.7149050959819465, Validation Loss: 3.658019580740409, Training Time: 215.50588035583496
Epoch 37, Train Loss: 0.7044730271219404, Validation Loss: 1.3815478379236652, Training Time: 215.5746099948883
Epoch 38, Train Loss: 0.7013667707892045, Validation Loss: 2.04389021410909, Training Time: 215.37356662750244
Epoch 39, Train Loss: 0.691912759656735, Validation Loss: 1.5126802552099414, Training Time: 215.30880975723267
Epoch 40, Train Loss: 0.6848807446812232, Validation Loss: 1.4227752148091004, Training Time: 215.4547836780548
Epoch 41, Train Loss: 0.6774538292074658, Validation Loss: 1.407805102487067, Training Time: 215.42068529129028
Epoch 42, Train Loss: 0.6704550544123485, Validation Loss: 1.8237501479539768, Training Time: 215.02802348136902
Epoch 43, Train Loss: 0.6651103846403836, Validation Loss: 2.3016278211546153, Training Time: 215.30602192878723
Epoch 44, Train Loss: 0.6583460749383251, Validation Loss: 1.3041073396078955, Training Time: 215.6344816684723
Epoch 45, Train Loss: 0.6474386875723724, Validation Loss: 5.937625883019188, Training Time: 215.88604879379272
Epoch 46, Train Loss: 0.6459831047014383, Validation Loss: 1.329378742501656, Training Time: 215.36507844924927
Epoch 47, Train Loss: 0.6357039507428254, Validation Loss: 1.2380981653196375, Training Time: 216.18999242782593
Epoch 48, Train Loss: 0.6281026930822255, Validation Loss: 1.371254012336052, Training Time: 215.27861618995667
Epoch 49, Train Loss: 0.6472667390638689, Validation Loss: 2.1337014734369446, Training Time: 215.73762726783752
Epoch 50, Train Loss: 0.6280918394645985, Validation Loss: 1.8763409060318663, Training Time: 215.7799527645111
