Epoch 1, Train Loss: 5.268226873326358, Validation Loss: 18.563872510709324, Training Time: 187.87592959403992
Epoch 2, Train Loss: 2.553348617694096, Validation Loss: 5.052219105127403, Training Time: 190.2378649711609
Epoch 3, Train Loss: 2.206709656464401, Validation Loss: 6.367615107740331, Training Time: 186.8503086566925
Epoch 4, Train Loss: 2.0337378426570916, Validation Loss: 11.19336015417956, Training Time: 186.78261804580688
Epoch 5, Train Loss: 1.9103566873626612, Validation Loss: 6.1004007510892535, Training Time: 188.84049582481384
Epoch 6, Train Loss: 1.8215348535497258, Validation Loss: 6.636791655532053, Training Time: 190.19236040115356
Epoch 7, Train Loss: 1.7495823347573238, Validation Loss: 2.706778652933159, Training Time: 187.70325899124146
Epoch 8, Train Loss: 1.689868109116093, Validation Loss: 3.9056289057612945, Training Time: 189.5355246067047
Epoch 9, Train Loss: 1.6414733889093955, Validation Loss: 4.1118994605714, Training Time: 187.56804013252258
Epoch 10, Train Loss: 1.5967473954364102, Validation Loss: 15.655361003370952, Training Time: 190.40447998046875
Epoch 11, Train Loss: 1.5577888471020487, Validation Loss: 3.9644846538740204, Training Time: 190.02331805229187
Epoch 12, Train Loss: 1.5206915469939135, Validation Loss: 8.328800190824643, Training Time: 188.39249992370605
Epoch 13, Train Loss: 1.4908741639990546, Validation Loss: 5.175637117293021, Training Time: 189.03135180473328
Epoch 14, Train Loss: 1.4575103837036596, Validation Loss: 2.002987050266482, Training Time: 188.56743741035461
Epoch 15, Train Loss: 1.4306116190484173, Validation Loss: 3.0275951745041376, Training Time: 188.16176342964172
Epoch 16, Train Loss: 1.4045680356654358, Validation Loss: 3.323784908410056, Training Time: 188.41319870948792
Epoch 17, Train Loss: 1.3790708363469775, Validation Loss: 4.293639304169185, Training Time: 190.0789532661438
Epoch 18, Train Loss: 1.358155675759446, Validation Loss: 5.726976795454181, Training Time: 189.38237309455872
Epoch 19, Train Loss: 1.335652742113602, Validation Loss: 6.985474471333798, Training Time: 191.56880950927734
Epoch 20, Train Loss: 1.314311504529451, Validation Loss: 4.030342500166241, Training Time: 191.4501190185547
Epoch 21, Train Loss: 1.2935749903049476, Validation Loss: 3.581936025195101, Training Time: 188.28510332107544
Epoch 22, Train Loss: 1.275291850191558, Validation Loss: 5.593760106987223, Training Time: 189.00732922554016
Epoch 23, Train Loss: 1.257021018867451, Validation Loss: 11.332478491405158, Training Time: 188.56376576423645
Epoch 24, Train Loss: 1.2373599834556999, Validation Loss: 8.426488044206346, Training Time: 188.01639032363892
Epoch 25, Train Loss: 1.2223264230091737, Validation Loss: 23.435506712060796, Training Time: 188.63801050186157
Epoch 26, Train Loss: 1.2069030093293545, Validation Loss: 2.8837807407225915, Training Time: 191.0225751399994
Epoch 27, Train Loss: 1.1895239330420506, Validation Loss: 2.4601133568300417, Training Time: 189.93160581588745
Epoch 28, Train Loss: 1.1740309999681104, Validation Loss: 3.4775840144113843, Training Time: 189.9533772468567
Epoch 29, Train Loss: 1.1596073569781624, Validation Loss: 3.7490471163746992, Training Time: 190.28198385238647
Epoch 30, Train Loss: 1.1482353579988562, Validation Loss: 1.8573544966062812, Training Time: 188.61204528808594
Epoch 31, Train Loss: 1.1340053614834582, Validation Loss: 6.2163810220693145, Training Time: 187.76671624183655
Epoch 32, Train Loss: 1.12315199162684, Validation Loss: 7.183019091403928, Training Time: 187.14046502113342
Epoch 33, Train Loss: 1.1087421697026014, Validation Loss: 7.56683807261875, Training Time: 187.82585740089417
Epoch 34, Train Loss: 1.097447869961551, Validation Loss: 4.540813481631186, Training Time: 188.79012036323547
Epoch 35, Train Loss: 1.086163581093562, Validation Loss: 2.6630118762688135, Training Time: 190.40076899528503
Epoch 36, Train Loss: 1.075174817184103, Validation Loss: 1.8533491957428023, Training Time: 190.6615104675293
Epoch 37, Train Loss: 1.0633568755023826, Validation Loss: 2.7879840613125104, Training Time: 190.94769644737244
Epoch 38, Train Loss: 1.0522731628744588, Validation Loss: 5.884817534748984, Training Time: 188.734450340271
Epoch 39, Train Loss: 1.0420135497231506, Validation Loss: 2.7561658720551008, Training Time: 188.1932818889618
Epoch 40, Train Loss: 1.0339658923772097, Validation Loss: 3.095064169273635, Training Time: 189.61871314048767
Epoch 41, Train Loss: 1.02484999823367, Validation Loss: 1.7774182742094198, Training Time: 188.67337608337402
Epoch 42, Train Loss: 1.014545506672619, Validation Loss: 2.3967476395330265, Training Time: 191.2261199951172
Epoch 43, Train Loss: 1.0025928921022649, Validation Loss: 3.0356445616532515, Training Time: 188.0928819179535
Epoch 44, Train Loss: 0.9932926597420797, Validation Loss: 10.296761996654421, Training Time: 189.2129204273224
Epoch 45, Train Loss: 0.9833997586102452, Validation Loss: 16.37336718630475, Training Time: 188.85993218421936
Epoch 46, Train Loss: 0.976385742617353, Validation Loss: 4.003316815142069, Training Time: 186.53004479408264
Epoch 47, Train Loss: 0.9676429942746563, Validation Loss: 1.4403658915163213, Training Time: 189.7167091369629
Epoch 48, Train Loss: 0.9612984021961641, Validation Loss: 1.3554964121607165, Training Time: 186.7570459842682
Epoch 49, Train Loss: 0.9515962855303978, Validation Loss: 5.336132490304407, Training Time: 186.9420096874237
Epoch 50, Train Loss: 0.9441110211596614, Validation Loss: 13.821065199623035, Training Time: 188.07726645469666
