Epoch 1, Train Loss: 4.835638167641164, Validation Loss: 3.2166010486906855, Training Time: 188.78857493400574
Epoch 2, Train Loss: 2.3524800173636944, Validation Loss: 2.7534144720192892, Training Time: 188.4566502571106
Epoch 3, Train Loss: 2.052834639000477, Validation Loss: 13.51259094901106, Training Time: 188.64667177200317
Epoch 4, Train Loss: 1.8865038970436585, Validation Loss: 2.424907179808722, Training Time: 188.99121189117432
Epoch 5, Train Loss: 1.77542728501166, Validation Loss: 3.8222831510566055, Training Time: 189.73625254631042
Epoch 6, Train Loss: 1.6916452588529742, Validation Loss: 3.551226860990897, Training Time: 188.27615571022034
Epoch 7, Train Loss: 1.6228254773024053, Validation Loss: 4.971435288287742, Training Time: 189.72540616989136
Epoch 8, Train Loss: 1.566798806363018, Validation Loss: 2.6477128748594776, Training Time: 188.729234457016
Epoch 9, Train Loss: 1.5170580997897651, Validation Loss: 1.7212497459767973, Training Time: 188.6885426044464
Epoch 10, Train Loss: 1.4763419778277531, Validation Loss: 1.8411684346860058, Training Time: 188.68390583992004
Epoch 11, Train Loss: 1.4382297499337242, Validation Loss: 1.582420296690039, Training Time: 187.77694725990295
Epoch 12, Train Loss: 1.4040867083903157, Validation Loss: 2.8106849065500006, Training Time: 189.44328117370605
Epoch 13, Train Loss: 1.3737279655156298, Validation Loss: 3.563175615456094, Training Time: 191.45954251289368
Epoch 14, Train Loss: 1.3470779816301732, Validation Loss: 1.5620750508822205, Training Time: 189.45914030075073
Epoch 15, Train Loss: 1.3203220081910738, Validation Loss: 7.92195892844774, Training Time: 191.34685707092285
Epoch 16, Train Loss: 1.2941046963198426, Validation Loss: 1.7537745103643763, Training Time: 191.04630970954895
Epoch 17, Train Loss: 1.270421821610451, Validation Loss: 1.673161574219786, Training Time: 188.44931316375732
Epoch 18, Train Loss: 1.2544264811310477, Validation Loss: 3.3547209758726995, Training Time: 188.34034514427185
Epoch 19, Train Loss: 1.2264563392649843, Validation Loss: 1.919260002001322, Training Time: 188.03818321228027
Epoch 20, Train Loss: 1.2100759625659396, Validation Loss: 1.8954179111936218, Training Time: 190.1880965232849
Epoch 21, Train Loss: 1.189906900161604, Validation Loss: 1.7950813946441502, Training Time: 188.51188731193542
Epoch 22, Train Loss: 1.173307573855585, Validation Loss: 2.6271907898075715, Training Time: 187.45731854438782
Epoch 23, Train Loss: 1.152597207612078, Validation Loss: 1.376438586730287, Training Time: 188.41306042671204
Epoch 24, Train Loss: 1.1371074638652197, Validation Loss: 1.899147135623987, Training Time: 191.05089664459229
Epoch 25, Train Loss: 1.1197810832620803, Validation Loss: 1.4217493796055618, Training Time: 188.1480302810669
Epoch 26, Train Loss: 1.1048234367363516, Validation Loss: 1.362033116240958, Training Time: 189.65471029281616
Epoch 27, Train Loss: 1.0891080539865592, Validation Loss: 1.291858339101245, Training Time: 188.09958243370056
Epoch 28, Train Loss: 1.079711772635, Validation Loss: 1.6011797523134221, Training Time: 189.58610320091248
Epoch 29, Train Loss: 1.0628811454071023, Validation Loss: 1.4695388930694218, Training Time: 188.4998812675476
Epoch 30, Train Loss: 1.0511816935015519, Validation Loss: 2.9019636386170955, Training Time: 189.26864290237427
Epoch 31, Train Loss: 1.0370628990451558, Validation Loss: 1.2665755957383815, Training Time: 188.43644618988037
Epoch 32, Train Loss: 1.0238730323553369, Validation Loss: 1.3384434668500993, Training Time: 188.87531661987305
Epoch 33, Train Loss: 1.0137888268581654, Validation Loss: 1.321627286070912, Training Time: 188.67060351371765
Epoch 34, Train Loss: 1.0036838972892297, Validation Loss: 1.2843804985341143, Training Time: 189.6142864227295
Epoch 35, Train Loss: 0.9907870148059681, Validation Loss: 1.3194368983036178, Training Time: 188.78369092941284
Epoch 36, Train Loss: 0.9826892987898094, Validation Loss: 1.8311254903063807, Training Time: 189.8600046634674
Epoch 37, Train Loss: 0.9683577342214422, Validation Loss: 1.3532480868195766, Training Time: 188.60129833221436
Epoch 38, Train Loss: 0.9601868129894433, Validation Loss: 1.4136738756128129, Training Time: 188.78441452980042
Epoch 39, Train Loss: 0.9501133339968492, Validation Loss: 1.2739428471640062, Training Time: 189.2661488056183
Epoch 40, Train Loss: 0.9378035787100077, Validation Loss: 1.4059338958085372, Training Time: 191.80021953582764
Epoch 41, Train Loss: 0.931566389393088, Validation Loss: 2.161487950870055, Training Time: 191.27665543556213
Epoch 42, Train Loss: 0.9211754656790458, Validation Loss: 1.2581771881646455, Training Time: 189.35617017745972
Epoch 43, Train Loss: 0.9115033118965652, Validation Loss: 2.62514853516914, Training Time: 188.67035675048828
Epoch 44, Train Loss: 0.9018590181108792, Validation Loss: 1.2226564993855333, Training Time: 191.36670064926147
Epoch 45, Train Loss: 0.8960577381463112, Validation Loss: 1.3699168439323075, Training Time: 189.7229278087616
Epoch 46, Train Loss: 0.886670967036065, Validation Loss: 1.6650992069292458, Training Time: 188.89812636375427
Epoch 47, Train Loss: 0.8778153276698727, Validation Loss: 1.247590497117337, Training Time: 191.55847096443176
Epoch 48, Train Loss: 0.8702881841144091, Validation Loss: 1.290619558445222, Training Time: 191.55324840545654
Epoch 49, Train Loss: 0.8637804001209332, Validation Loss: 1.38415619796676, Training Time: 187.49385118484497
Epoch 50, Train Loss: 0.8537787733010174, Validation Loss: 1.646263983933972, Training Time: 189.19094848632812
