Epoch 1, Train Loss: 4.579369481627569, Validation Loss: 18.508360158593383, Training Time: 192.55359148979187
Epoch 2, Train Loss: 2.161706167138067, Validation Loss: 14.52348132935724, Training Time: 190.95169734954834
Epoch 3, Train Loss: 1.884721476870052, Validation Loss: 10.176993709956616, Training Time: 191.72794818878174
Epoch 4, Train Loss: 1.7334991523167333, Validation Loss: 3.0117503530624607, Training Time: 192.5883128643036
Epoch 5, Train Loss: 1.623829891195286, Validation Loss: 1.741783475652384, Training Time: 192.2074339389801
Epoch 6, Train Loss: 1.5488088005537746, Validation Loss: 3.924085181429466, Training Time: 193.9157190322876
Epoch 7, Train Loss: 1.4841852343243138, Validation Loss: 4.317054857077956, Training Time: 192.87498378753662
Epoch 8, Train Loss: 1.432172867791649, Validation Loss: 2.3707173534474735, Training Time: 193.12435865402222
Epoch 9, Train Loss: 1.3883813329023278, Validation Loss: 4.512081262219531, Training Time: 192.60575890541077
Epoch 10, Train Loss: 1.3469845890738867, Validation Loss: 1.6486937893436027, Training Time: 192.82702207565308
Epoch 11, Train Loss: 1.3115016928818564, Validation Loss: 1.7504552743235098, Training Time: 190.9584641456604
Epoch 12, Train Loss: 1.2847153939076306, Validation Loss: 3.9104878117471804, Training Time: 191.9886281490326
Epoch 13, Train Loss: 1.2541021647444328, Validation Loss: 4.493984951677004, Training Time: 192.88144278526306
Epoch 14, Train Loss: 1.227326294279921, Validation Loss: 2.8389222484267425, Training Time: 191.40630197525024
Epoch 15, Train Loss: 1.1992693289062695, Validation Loss: 11.020398867979091, Training Time: 194.2983546257019
Epoch 16, Train Loss: 1.176425896706702, Validation Loss: 2.260309636611644, Training Time: 191.97548604011536
Epoch 17, Train Loss: 1.1566613709945512, Validation Loss: 1.8106129730299876, Training Time: 192.04588437080383
Epoch 18, Train Loss: 1.1319131355841987, Validation Loss: 2.1111817460579925, Training Time: 190.5203502178192
Epoch 19, Train Loss: 1.113997797599442, Validation Loss: 1.3827297305565025, Training Time: 192.94133591651917
Epoch 20, Train Loss: 1.096536068956262, Validation Loss: 1.4989782540901095, Training Time: 190.25161218643188
Epoch 21, Train Loss: 1.0790478410558224, Validation Loss: 2.3124536933880897, Training Time: 193.06034541130066
Epoch 22, Train Loss: 1.0606274596052827, Validation Loss: 1.3224203665731986, Training Time: 191.94662976264954
Epoch 23, Train Loss: 1.0460660253922491, Validation Loss: 2.4048808228503855, Training Time: 192.87606716156006
Epoch 24, Train Loss: 1.0314470542389471, Validation Loss: 1.4607283346350266, Training Time: 192.8822968006134
Epoch 25, Train Loss: 1.0172533258382146, Validation Loss: 2.356904863287761, Training Time: 192.61087131500244
Epoch 26, Train Loss: 1.0028520928741589, Validation Loss: 7.376979221505945, Training Time: 192.98667287826538
Epoch 27, Train Loss: 0.9906434357000853, Validation Loss: 9.75953940497905, Training Time: 191.3437054157257
Epoch 28, Train Loss: 0.9781428960050788, Validation Loss: 4.234152877629366, Training Time: 193.30641412734985
Epoch 29, Train Loss: 0.9668652423771954, Validation Loss: 3.058314800168556, Training Time: 192.16092371940613
Epoch 30, Train Loss: 0.9542094971089492, Validation Loss: 2.987314300917948, Training Time: 192.82273292541504
Epoch 31, Train Loss: 0.9430548118372742, Validation Loss: 8.944607604034456, Training Time: 192.29426383972168
Epoch 32, Train Loss: 0.9327053084756816, Validation Loss: 2.845772086804065, Training Time: 193.00565695762634
Epoch 33, Train Loss: 0.9196857548263412, Validation Loss: 2.6155182249003714, Training Time: 193.82810735702515
Epoch 34, Train Loss: 0.9099222806582935, Validation Loss: 2.4429517332945667, Training Time: 190.71691155433655
Epoch 35, Train Loss: 0.9029088843173682, Validation Loss: 2.013746244357529, Training Time: 190.76832938194275
Epoch 36, Train Loss: 0.890934287715913, Validation Loss: 4.4942834000957035, Training Time: 193.10489559173584
Epoch 37, Train Loss: 0.8797697968609649, Validation Loss: 3.585777719026853, Training Time: 193.18750596046448
Epoch 38, Train Loss: 0.870715622863866, Validation Loss: 10.623302439923698, Training Time: 193.79635214805603
Epoch 39, Train Loss: 0.8639118300294423, Validation Loss: 3.2239361070730284, Training Time: 192.70389890670776
Epoch 40, Train Loss: 0.8535770902290503, Validation Loss: 2.783781360400572, Training Time: 191.48074078559875
Epoch 41, Train Loss: 0.8457759882442352, Validation Loss: 1.657114473712016, Training Time: 194.5043740272522
Epoch 42, Train Loss: 0.8395563269658849, Validation Loss: 1.3196503507054371, Training Time: 194.4622004032135
Epoch 43, Train Loss: 0.8328800256754745, Validation Loss: 1.9736871819170902, Training Time: 193.7882113456726
Epoch 44, Train Loss: 0.8246127911272454, Validation Loss: 3.5912430787619813, Training Time: 193.95678615570068
Epoch 45, Train Loss: 0.8143431621149454, Validation Loss: 1.2523894327462057, Training Time: 193.35299563407898
Epoch 46, Train Loss: 0.8072317813345121, Validation Loss: 1.3252308585862356, Training Time: 192.79027318954468
Epoch 47, Train Loss: 0.8010254701565505, Validation Loss: 1.240519286413274, Training Time: 193.44960689544678
Epoch 48, Train Loss: 0.7965669293692195, Validation Loss: 1.3196946133982106, Training Time: 192.69717621803284
Epoch 49, Train Loss: 0.7884515960251027, Validation Loss: 6.860178100401753, Training Time: 192.92470026016235
Epoch 50, Train Loss: 0.7796841591419349, Validation Loss: 1.8897228691287964, Training Time: 191.4450421333313
