Epoch 1, Train Loss: 43.46879163557309, Validation Loss: 48.21242668720185, Training Time: 15.748213052749634
Epoch 2, Train Loss: 17.429470585569593, Validation Loss: 6.681293903570412, Training Time: 15.788910388946533
Epoch 3, Train Loss: 6.978858676105167, Validation Loss: 168.5061284187954, Training Time: 15.810715675354004
Epoch 4, Train Loss: 6.78389029486131, Validation Loss: 6.258210802185885, Training Time: 15.621249675750732
Epoch 5, Train Loss: 7.7048653864535925, Validation Loss: 85.28522375636392, Training Time: 15.870371580123901
Epoch 6, Train Loss: 3.971790359191329, Validation Loss: 31.152010063016387, Training Time: 15.47759461402893
Epoch 7, Train Loss: 3.7148520820082678, Validation Loss: 15.535735940825589, Training Time: 15.539060592651367
Epoch 8, Train Loss: 4.66045490822341, Validation Loss: 27.437641402668664, Training Time: 15.692028522491455
Epoch 9, Train Loss: 3.112179210863626, Validation Loss: 66.38638204053616, Training Time: 15.522348403930664
Epoch 10, Train Loss: 1.5730938436570463, Validation Loss: 58.61153406268049, Training Time: 15.739608764648438
Epoch 11, Train Loss: 2.298516031736652, Validation Loss: 32.22617540079638, Training Time: 15.683422327041626
Epoch 12, Train Loss: 1.5112907278708507, Validation Loss: 76.21768787805975, Training Time: 15.60877537727356
Epoch 13, Train Loss: 2.036875858093522, Validation Loss: 60.02215947738888, Training Time: 16.037672519683838
Epoch 14, Train Loss: 1.4909669883098016, Validation Loss: 1.335182277061062, Training Time: 15.62353801727295
Epoch 15, Train Loss: 1.396690585721961, Validation Loss: 6.235874051434192, Training Time: 15.82692289352417
Epoch 16, Train Loss: 0.861866333855414, Validation Loss: 0.8426671443889695, Training Time: 15.662904500961304
Epoch 17, Train Loss: 1.0536919865366787, Validation Loss: 5.803179602187051, Training Time: 15.884058475494385
Epoch 18, Train Loss: 0.8270076193246177, Validation Loss: 4.33483472903749, Training Time: 15.760773658752441
Epoch 19, Train Loss: 0.7057149928523334, Validation Loss: 7.144785387319582, Training Time: 15.988416910171509
Epoch 20, Train Loss: 0.6758663933922291, Validation Loss: 36.74999085290707, Training Time: 14.565178394317627
Epoch 21, Train Loss: 0.8257594174560021, Validation Loss: 90.27083820144964, Training Time: 14.598093032836914
Epoch 22, Train Loss: 0.7270093218914382, Validation Loss: 4.589528674465808, Training Time: 15.549076318740845
Epoch 23, Train Loss: 0.7608384849999479, Validation Loss: 6.901996096423733, Training Time: 16.00135827064514
Epoch 24, Train Loss: 0.735436474942194, Validation Loss: 21.951465844569842, Training Time: 15.879712581634521
Epoch 25, Train Loss: 0.7480256994418804, Validation Loss: 13.665927067298114, Training Time: 16.14338970184326
Epoch 26, Train Loss: 0.6620146579107415, Validation Loss: 529.3380563361382, Training Time: 15.64600682258606
Epoch 27, Train Loss: 0.7015176106684429, Validation Loss: 27.797685233518717, Training Time: 15.496657848358154
Epoch 28, Train Loss: 0.7479988127891907, Validation Loss: 0.9457981430044562, Training Time: 15.512276887893677
Epoch 29, Train Loss: 0.8310490482167274, Validation Loss: 4.408549074394708, Training Time: 15.751842498779297
Epoch 30, Train Loss: 0.7115891690314061, Validation Loss: 8.956449859029284, Training Time: 15.500572443008423
Epoch 31, Train Loss: 0.5465530461537011, Validation Loss: 4.92822020855768, Training Time: 15.355600357055664
Epoch 32, Train Loss: 0.5690348809525537, Validation Loss: 17.32428700794754, Training Time: 15.864952325820923
Epoch 33, Train Loss: 0.569865744450535, Validation Loss: 16.247977718542714, Training Time: 14.595468521118164
Epoch 34, Train Loss: 0.5424633366962541, Validation Loss: 92.73758261790394, Training Time: 15.695880889892578
Epoch 35, Train Loss: 0.5176698630193568, Validation Loss: 4.1735287071888925, Training Time: 16.21982741355896
Epoch 36, Train Loss: 0.5079296630522052, Validation Loss: 56.51850515671293, Training Time: 15.636426210403442
Epoch 37, Train Loss: 0.5203612054549047, Validation Loss: 6.255018417776035, Training Time: 15.849368810653687
Epoch 38, Train Loss: 0.502182463735845, Validation Loss: 163.33236926834417, Training Time: 15.516714096069336
Epoch 39, Train Loss: 0.4919978135774329, Validation Loss: 1.3394265493743844, Training Time: 15.948804140090942
Epoch 40, Train Loss: 0.4837518009821957, Validation Loss: 18.430223770658266, Training Time: 15.739402055740356
Epoch 41, Train Loss: 0.48811764551669784, Validation Loss: 394.6606749110513, Training Time: 16.412922143936157
Epoch 42, Train Loss: 0.4852548092540283, Validation Loss: 46.62427335829552, Training Time: 15.757725954055786
Epoch 43, Train Loss: 0.5156595846251079, Validation Loss: 8.136427433711411, Training Time: 15.766971826553345
Epoch 44, Train Loss: 0.5283915162035767, Validation Loss: 0.8421150841844809, Training Time: 15.784825801849365
Epoch 45, Train Loss: 0.515267869019877, Validation Loss: 15.086991785342214, Training Time: 15.789075374603271
Epoch 46, Train Loss: 0.48713869018734574, Validation Loss: 4.632718803852998, Training Time: 15.600759029388428
Epoch 47, Train Loss: 0.4636603252564131, Validation Loss: 4.908876634074657, Training Time: 15.377402782440186
Epoch 48, Train Loss: 0.4627545361036342, Validation Loss: 4.128699549972069, Training Time: 15.827300310134888
Epoch 49, Train Loss: 0.466938560714182, Validation Loss: 112.81549103265422, Training Time: 15.835963487625122
Epoch 50, Train Loss: 0.4580960974272659, Validation Loss: 1.1149089013480709, Training Time: 15.689673900604248
