Epoch 1, Train Loss: 5.600047322074919, Validation Loss: 3.882848152291046, Training Time: 188.45785546302795
Epoch 2, Train Loss: 2.735668035261599, Validation Loss: 2.583908540183219, Training Time: 188.38788771629333
Epoch 3, Train Loss: 2.356323112919631, Validation Loss: 2.2934322870033075, Training Time: 187.18513178825378
Epoch 4, Train Loss: 2.161341383266222, Validation Loss: 2.7470965588250547, Training Time: 186.53098440170288
Epoch 5, Train Loss: 2.031790043639343, Validation Loss: 2.18722828993575, Training Time: 190.32984852790833
Epoch 6, Train Loss: 1.935702513232768, Validation Loss: 3.3621314106005578, Training Time: 188.1252543926239
Epoch 7, Train Loss: 1.8628579712760156, Validation Loss: 1.9079265222845396, Training Time: 187.45099568367004
Epoch 8, Train Loss: 1.8032832154459086, Validation Loss: 1.8894387605660503, Training Time: 184.7252004146576
Epoch 9, Train Loss: 1.7516295896150307, Validation Loss: 1.8255404895893341, Training Time: 186.6836359500885
Epoch 10, Train Loss: 1.7073244970223906, Validation Loss: 1.8200738576499635, Training Time: 186.4475929737091
Epoch 11, Train Loss: 1.6658856546543213, Validation Loss: 1.8189018964016295, Training Time: 186.35303473472595
Epoch 12, Train Loss: 1.6295068075692813, Validation Loss: 1.8575071507868859, Training Time: 186.02379250526428
Epoch 13, Train Loss: 1.5959538744128856, Validation Loss: 1.738224808758133, Training Time: 186.62469673156738
Epoch 14, Train Loss: 1.5657614557422597, Validation Loss: 1.6853495720579104, Training Time: 186.46386528015137
Epoch 15, Train Loss: 1.537074924978257, Validation Loss: 1.6472666386582977, Training Time: 185.93980073928833
Epoch 16, Train Loss: 1.5104779837400453, Validation Loss: 1.6695583654449058, Training Time: 186.34082341194153
Epoch 17, Train Loss: 1.4879106983719697, Validation Loss: 1.924973235707953, Training Time: 185.74727511405945
Epoch 18, Train Loss: 1.4634595241967787, Validation Loss: 1.689389104653847, Training Time: 188.15064692497253
Epoch 19, Train Loss: 1.442713610780655, Validation Loss: 1.579540205390557, Training Time: 185.63977527618408
Epoch 20, Train Loss: 1.421534380534166, Validation Loss: 1.6799350352916766, Training Time: 186.4688754081726
Epoch 21, Train Loss: 1.40242955078571, Validation Loss: 1.5738932968462949, Training Time: 188.6115963459015
Epoch 22, Train Loss: 1.3841785414553558, Validation Loss: 1.52021389138646, Training Time: 187.29138374328613
Epoch 23, Train Loss: 1.3619339782765325, Validation Loss: 1.5255119198324099, Training Time: 185.54690194129944
Epoch 24, Train Loss: 1.3464765236833378, Validation Loss: 1.5111955304846647, Training Time: 186.66618871688843
Epoch 25, Train Loss: 1.3335507614261852, Validation Loss: 1.5326672722952277, Training Time: 185.74702882766724
Epoch 26, Train Loss: 1.3165628040656978, Validation Loss: 1.6140695227229076, Training Time: 189.1874394416809
Epoch 27, Train Loss: 1.299100710509506, Validation Loss: 1.527911644933655, Training Time: 187.20535016059875
Epoch 28, Train Loss: 1.2841172501527536, Validation Loss: 1.4688463134816705, Training Time: 185.86152052879333
Epoch 29, Train Loss: 1.2720082906339965, Validation Loss: 1.6426464119608024, Training Time: 185.98991060256958
Epoch 30, Train Loss: 1.258517640946074, Validation Loss: 1.7257745898250672, Training Time: 188.36720609664917
Epoch 31, Train Loss: 1.247571698336919, Validation Loss: 1.4149185682646344, Training Time: 186.94433403015137
Epoch 32, Train Loss: 1.2332818243779615, Validation Loss: 1.4684030068281242, Training Time: 186.31250524520874
Epoch 33, Train Loss: 1.219507725943326, Validation Loss: 1.5356314258712151, Training Time: 186.59339594841003
Epoch 34, Train Loss: 1.2088122964590717, Validation Loss: 1.4968395540942616, Training Time: 186.2151117324829
Epoch 35, Train Loss: 1.1957139465694953, Validation Loss: 1.4260617753170388, Training Time: 186.2088553905487
Epoch 36, Train Loss: 1.1864130785087572, Validation Loss: 1.4698224595566554, Training Time: 186.22622656822205
Epoch 37, Train Loss: 1.1731300504858961, Validation Loss: 1.6626104198504186, Training Time: 185.92233300209045
Epoch 38, Train Loss: 1.1654993196903571, Validation Loss: 1.463988709896709, Training Time: 185.6842896938324
Epoch 39, Train Loss: 1.1553137403480784, Validation Loss: 1.4813328267420773, Training Time: 186.50547242164612
Epoch 40, Train Loss: 1.1426561298774973, Validation Loss: 1.5441505054144569, Training Time: 187.83238220214844
Epoch 41, Train Loss: 1.136341781636536, Validation Loss: 1.4184035481468416, Training Time: 186.31243085861206
Epoch 42, Train Loss: 1.1260369397398502, Validation Loss: 1.402538880442927, Training Time: 185.87982273101807
Epoch 43, Train Loss: 1.1119772014296025, Validation Loss: 1.5338457234828218, Training Time: 185.83838772773743
Epoch 44, Train Loss: 1.1022479434236943, Validation Loss: 1.4120264217097878, Training Time: 186.32897758483887
Epoch 45, Train Loss: 1.0930834331900519, Validation Loss: 1.3860728889797647, Training Time: 186.20415830612183
Epoch 46, Train Loss: 1.085721903652969, Validation Loss: 1.549573587071768, Training Time: 185.87301349639893
Epoch 47, Train Loss: 1.0765564074150444, Validation Loss: 1.3990560725528487, Training Time: 186.64862775802612
Epoch 48, Train Loss: 1.0688740066965359, Validation Loss: 1.503946179309279, Training Time: 188.08312726020813
Epoch 49, Train Loss: 1.06077798465998, Validation Loss: 1.4194936479272224, Training Time: 187.36910271644592
Epoch 50, Train Loss: 1.0516133729507298, Validation Loss: 1.4084226310666281, Training Time: 187.47002577781677
