Epoch 1, Train Loss: 6.094004099653601, Validation Loss: 6.482042135648481, Training Time: 183.38791608810425
Epoch 2, Train Loss: 3.4091267838873245, Validation Loss: 3.610787364808583, Training Time: 184.04780411720276
Epoch 3, Train Loss: 2.917827597650434, Validation Loss: 4.139042388438878, Training Time: 185.91414856910706
Epoch 4, Train Loss: 2.6553931600890586, Validation Loss: 2.985139934462275, Training Time: 183.33277297019958
Epoch 5, Train Loss: 2.4778862497855707, Validation Loss: 4.427340986372617, Training Time: 183.52625107765198
Epoch 6, Train Loss: 2.352778329133609, Validation Loss: 5.446580806128544, Training Time: 183.96554470062256
Epoch 7, Train Loss: 2.254070665072251, Validation Loss: 3.9149539909350772, Training Time: 186.29070925712585
Epoch 8, Train Loss: 2.1750585048232733, Validation Loss: 3.950133273829885, Training Time: 184.27084112167358
Epoch 9, Train Loss: 2.1080483330775595, Validation Loss: 5.8256671491777965, Training Time: 186.79220509529114
Epoch 10, Train Loss: 2.047286013529756, Validation Loss: 2.147761852356647, Training Time: 183.90647721290588
Epoch 11, Train Loss: 1.9941364915076936, Validation Loss: 2.249126061430951, Training Time: 186.24564814567566
Epoch 12, Train Loss: 1.9446914066760717, Validation Loss: 4.180186969083138, Training Time: 184.75093722343445
Epoch 13, Train Loss: 1.9013725029840818, Validation Loss: 2.2942683356846363, Training Time: 186.94748187065125
Epoch 14, Train Loss: 1.8641132904814879, Validation Loss: 3.0581537053204966, Training Time: 186.0984263420105
Epoch 15, Train Loss: 1.8243167231236064, Validation Loss: 2.9807604375355785, Training Time: 185.5743329524994
Epoch 16, Train Loss: 1.7934550569595844, Validation Loss: 1.9933510006563275, Training Time: 186.67810463905334
Epoch 17, Train Loss: 1.760825221906996, Validation Loss: 2.4433932695925122, Training Time: 188.1610414981842
Epoch 18, Train Loss: 1.730410346426631, Validation Loss: 5.175216362021145, Training Time: 186.85061049461365
Epoch 19, Train Loss: 1.702109544067795, Validation Loss: 2.718614019195314, Training Time: 187.1393072605133
Epoch 20, Train Loss: 1.6755641484655246, Validation Loss: 3.0860950290292934, Training Time: 185.14239859580994
Epoch 21, Train Loss: 1.6514693893249974, Validation Loss: 3.5029968456908, Training Time: 185.3369700908661
Epoch 22, Train Loss: 1.6251156362038015, Validation Loss: 1.944540279048302, Training Time: 184.5578589439392
Epoch 23, Train Loss: 1.6066303973853542, Validation Loss: 5.523484273083043, Training Time: 184.01888513565063
Epoch 24, Train Loss: 1.5864010066526641, Validation Loss: 13.938402287600997, Training Time: 188.12472009658813
Epoch 25, Train Loss: 1.565235980375006, Validation Loss: 1.9273204944872901, Training Time: 185.1562659740448
Epoch 26, Train Loss: 1.5448152377728808, Validation Loss: 3.682685027444746, Training Time: 186.2666358947754
Epoch 27, Train Loss: 1.5287148478412136, Validation Loss: 4.690783851351014, Training Time: 185.87284564971924
Epoch 28, Train Loss: 1.5068364155212155, Validation Loss: 2.1634491090513133, Training Time: 185.46167039871216
Epoch 29, Train Loss: 1.4919180286547478, Validation Loss: 3.470221776836836, Training Time: 189.06268215179443
Epoch 30, Train Loss: 1.4777073071824947, Validation Loss: 2.2477852499702853, Training Time: 188.50315856933594
Epoch 31, Train Loss: 1.4601281611197152, Validation Loss: 1.9061707269867487, Training Time: 185.91136050224304
Epoch 32, Train Loss: 1.440494990071118, Validation Loss: 9.733998664235198, Training Time: 184.43030905723572
Epoch 33, Train Loss: 1.426491397810682, Validation Loss: 1.858016723138999, Training Time: 185.67027473449707
Epoch 34, Train Loss: 1.4114291911225392, Validation Loss: 2.0801935114985226, Training Time: 186.97234106063843
Epoch 35, Train Loss: 1.39862061996459, Validation Loss: 2.0607693505384823, Training Time: 185.5471785068512
Epoch 36, Train Loss: 1.382863541651727, Validation Loss: 2.0041637245821518, Training Time: 184.51737451553345
Epoch 37, Train Loss: 1.3692167997218425, Validation Loss: 7.705588148311766, Training Time: 184.85571241378784
Epoch 38, Train Loss: 1.3573262583467338, Validation Loss: 1.6982531734773327, Training Time: 184.36522793769836
Epoch 39, Train Loss: 1.3454632168259062, Validation Loss: 3.2348333793799684, Training Time: 185.77065992355347
Epoch 40, Train Loss: 1.332828112061207, Validation Loss: 7.460041044377349, Training Time: 184.56816577911377
Epoch 41, Train Loss: 1.3200165805660193, Validation Loss: 7.500999604709207, Training Time: 186.56300854682922
Epoch 42, Train Loss: 1.3102811939429424, Validation Loss: 6.334622552917675, Training Time: 184.46089887619019
Epoch 43, Train Loss: 1.296124304784942, Validation Loss: 1.7487336653504795, Training Time: 184.56065917015076
Epoch 44, Train Loss: 1.2871578918396245, Validation Loss: 10.469267973602381, Training Time: 188.8424460887909
Epoch 45, Train Loss: 1.2767007009423885, Validation Loss: 2.0943032441626723, Training Time: 184.23810362815857
Epoch 46, Train Loss: 1.2664209845033456, Validation Loss: 2.267061585401993, Training Time: 185.33144903182983
Epoch 47, Train Loss: 1.2553469953628686, Validation Loss: 2.6960387568317574, Training Time: 186.85610222816467
Epoch 48, Train Loss: 1.2461753421163957, Validation Loss: 8.291284360259151, Training Time: 184.89784264564514
Epoch 49, Train Loss: 1.236503715288488, Validation Loss: 10.494400821621491, Training Time: 185.2542643547058
Epoch 50, Train Loss: 1.2289645159048377, Validation Loss: 1.8388406986437582, Training Time: 183.6870515346527
