Epoch 1, Train Loss: 10.341310025377318, Validation Loss: 5.95277008649727, Training Time: 24.822204113006592
Epoch 2, Train Loss: 1.1542152129002723, Validation Loss: 1.0792956514363903, Training Time: 24.720653295516968
Epoch 3, Train Loss: 0.9167309664797401, Validation Loss: 3.148323200626244, Training Time: 23.965691089630127
Epoch 4, Train Loss: 0.8167343195017949, Validation Loss: 0.860959920334224, Training Time: 25.22297167778015
Epoch 5, Train Loss: 0.7665654017923234, Validation Loss: 7.550925994565202, Training Time: 24.676743268966675
Epoch 6, Train Loss: 0.7234491521273078, Validation Loss: 10.599485122323305, Training Time: 24.968685150146484
Epoch 7, Train Loss: 0.6723670930900297, Validation Loss: 1.5064174295413575, Training Time: 25.012085914611816
Epoch 8, Train Loss: 0.667341892460765, Validation Loss: 0.6608722941197337, Training Time: 24.94275188446045
Epoch 9, Train Loss: 0.6535351253869499, Validation Loss: 1.9195373788240533, Training Time: 25.05667471885681
Epoch 10, Train Loss: 0.6255254456716605, Validation Loss: 0.7357801051293216, Training Time: 24.656500816345215
Epoch 11, Train Loss: 0.6073347390746245, Validation Loss: 1.1688510664564222, Training Time: 24.66281294822693
Epoch 12, Train Loss: 0.588403965112859, Validation Loss: 2.003820014659223, Training Time: 24.91700315475464
Epoch 13, Train Loss: 0.5992908813508415, Validation Loss: 3.992105625014811, Training Time: 24.89562153816223
Epoch 14, Train Loss: 0.5681030225067372, Validation Loss: 1.164971304666377, Training Time: 24.664089679718018
Epoch 15, Train Loss: 0.5632461728930998, Validation Loss: 0.7315232081015007, Training Time: 24.757571697235107
Epoch 16, Train Loss: 0.5695672228122971, Validation Loss: 2.2941970227803385, Training Time: 24.739858150482178
Epoch 17, Train Loss: 0.5450966470868109, Validation Loss: 6.744647830119251, Training Time: 24.783066987991333
Epoch 18, Train Loss: 0.5455139557946034, Validation Loss: 0.6334271335440349, Training Time: 24.89818263053894
Epoch 19, Train Loss: 0.5380559585150583, Validation Loss: 2.978041872953992, Training Time: 25.07166624069214
Epoch 20, Train Loss: 0.5352903408896684, Validation Loss: 1.272974520518064, Training Time: 25.08094549179077
Epoch 21, Train Loss: 0.5217395089498024, Validation Loss: 2.6396527096595506, Training Time: 24.679436206817627
Epoch 22, Train Loss: 0.5117520721326262, Validation Loss: 3.5737019556639695, Training Time: 24.728972911834717
Epoch 23, Train Loss: 0.5109573837088078, Validation Loss: 0.6610494819438215, Training Time: 24.874078273773193
Epoch 24, Train Loss: 0.5123212241421454, Validation Loss: 0.794843838493388, Training Time: 24.82059121131897
Epoch 25, Train Loss: 0.5189720899048401, Validation Loss: 2.4495374543537674, Training Time: 25.06886601448059
Epoch 26, Train Loss: 0.5019582936170676, Validation Loss: 0.6397138752934626, Training Time: 24.686275243759155
Epoch 27, Train Loss: 0.4917983566255641, Validation Loss: 0.5756716317167131, Training Time: 24.963502168655396
Epoch 28, Train Loss: 0.49136927374338124, Validation Loss: 3.691009390973076, Training Time: 24.554710149765015
Epoch 29, Train Loss: 0.4858071399299731, Validation Loss: 3.178452723989637, Training Time: 24.853792905807495
Epoch 30, Train Loss: 0.47999627305977466, Validation Loss: 0.8850600375009713, Training Time: 24.91297745704651
Epoch 31, Train Loss: 0.4842166849027, Validation Loss: 4.108480404246741, Training Time: 24.924100160598755
Epoch 32, Train Loss: 0.4760822096609457, Validation Loss: 3.190038099245885, Training Time: 24.77371859550476
Epoch 33, Train Loss: 0.47468680265507385, Validation Loss: 1.121225542058794, Training Time: 24.80140972137451
Epoch 34, Train Loss: 0.4751168881903437, Validation Loss: 0.882143652466027, Training Time: 24.809921503067017
Epoch 35, Train Loss: 0.46454518038471476, Validation Loss: 0.6756123513588786, Training Time: 24.7193500995636
Epoch 36, Train Loss: 0.4748128096341512, Validation Loss: 0.9438575282188355, Training Time: 24.887715578079224
Epoch 37, Train Loss: 0.45869894992491994, Validation Loss: 2.570585972433973, Training Time: 25.014122486114502
Epoch 38, Train Loss: 0.45800958461177177, Validation Loss: 0.6013639169339402, Training Time: 24.815932035446167
Epoch 39, Train Loss: 0.4571245585142543, Validation Loss: 0.8465014367824752, Training Time: 24.803414344787598
Epoch 40, Train Loss: 0.45189783521500604, Validation Loss: 2.3069233829428866, Training Time: 25.061163902282715
Epoch 41, Train Loss: 0.45060105416609403, Validation Loss: 1.4515855314029258, Training Time: 24.90730309486389
Epoch 42, Train Loss: 0.4522410583798724, Validation Loss: 9.607625973682103, Training Time: 24.8597412109375
Epoch 43, Train Loss: 0.4454965398905379, Validation Loss: 0.9713113196951003, Training Time: 24.93644666671753
Epoch 44, Train Loss: 0.4449474038663206, Validation Loss: 3.553324257681655, Training Time: 24.879878282546997
Epoch 45, Train Loss: 0.43998630611359896, Validation Loss: 0.6796864207926507, Training Time: 24.49907875061035
Epoch 46, Train Loss: 0.4365006139127604, Validation Loss: 8.00035283581667, Training Time: 24.772042751312256
Epoch 47, Train Loss: 0.43759107319636814, Validation Loss: 1.0435940228722165, Training Time: 24.931442737579346
Epoch 48, Train Loss: 0.435524659027632, Validation Loss: 4.300574194900608, Training Time: 24.85235285758972
Epoch 49, Train Loss: 0.4308889658294524, Validation Loss: 2.8826013450967003, Training Time: 24.877943754196167
Epoch 50, Train Loss: 0.4311816729124413, Validation Loss: 1.9348404163297088, Training Time: 25.05695867538452
