Epoch 1, Train Loss: 4.216473047162312, Validation Loss: 6.438433105418272, Training Time: 121.60651683807373
Epoch 2, Train Loss: 2.1696964401465197, Validation Loss: 7.349745565341116, Training Time: 120.96659970283508
Epoch 3, Train Loss: 1.8791329096367584, Validation Loss: 11.426325826804144, Training Time: 121.06116056442261
Epoch 4, Train Loss: 1.72788007595679, Validation Loss: 2.2534597626292787, Training Time: 121.96120882034302
Epoch 5, Train Loss: 1.6250115042955604, Validation Loss: 2.647098932164077, Training Time: 121.76059985160828
Epoch 6, Train Loss: 1.5482541067710385, Validation Loss: 3.7300388927195307, Training Time: 123.74795079231262
Epoch 7, Train Loss: 1.4852827504808992, Validation Loss: 6.914583174890892, Training Time: 121.78781747817993
Epoch 8, Train Loss: 1.4397273250190064, Validation Loss: 4.33986679641571, Training Time: 123.63988733291626
Epoch 9, Train Loss: 1.3845742335355442, Validation Loss: 3.0532072295951784, Training Time: 122.70862412452698
Epoch 10, Train Loss: 1.3446920527105384, Validation Loss: 4.350763788070029, Training Time: 122.74350190162659
Epoch 11, Train Loss: 1.309668193359303, Validation Loss: 1.9241894965060642, Training Time: 123.44443726539612
Epoch 12, Train Loss: 1.2767158420689988, Validation Loss: 4.150235772320664, Training Time: 121.307284116745
Epoch 13, Train Loss: 1.2499014453943242, Validation Loss: 2.2064311688398517, Training Time: 122.09239268302917
Epoch 14, Train Loss: 1.219638796626907, Validation Loss: 4.4270136551655686, Training Time: 123.04083895683289
Epoch 15, Train Loss: 1.1961865728805219, Validation Loss: 7.02768031797397, Training Time: 122.18098831176758
Epoch 16, Train Loss: 1.1688892044912813, Validation Loss: 5.078759818048543, Training Time: 122.3001959323883
Epoch 17, Train Loss: 1.1475145576174632, Validation Loss: 2.1241555190454435, Training Time: 122.29583096504211
Epoch 18, Train Loss: 1.1290526191161134, Validation Loss: 2.536821204082126, Training Time: 119.90752506256104
Epoch 19, Train Loss: 1.1091233706363226, Validation Loss: 2.95170021597965, Training Time: 121.79867696762085
Epoch 20, Train Loss: 1.0916361201657936, Validation Loss: 4.690173344673717, Training Time: 122.2661280632019
Epoch 21, Train Loss: 1.0729612380407993, Validation Loss: 1.8239420329296296, Training Time: 121.39397692680359
Epoch 22, Train Loss: 1.053592887706316, Validation Loss: 2.193656724169334, Training Time: 122.06720924377441
Epoch 23, Train Loss: 1.041432897267977, Validation Loss: 15.453230238967372, Training Time: 121.16744542121887
Epoch 24, Train Loss: 1.0250254207558807, Validation Loss: 3.348444902510033, Training Time: 121.05136561393738
Epoch 25, Train Loss: 1.007774838456599, Validation Loss: 4.608231182453688, Training Time: 120.95498704910278
Epoch 26, Train Loss: 0.995440409103856, Validation Loss: 2.4103085557544612, Training Time: 122.38453555107117
Epoch 27, Train Loss: 0.9849928398816762, Validation Loss: 3.1556015663463963, Training Time: 120.47113299369812
Epoch 28, Train Loss: 0.9670839085288695, Validation Loss: 9.120948047253345, Training Time: 122.2721836566925
Epoch 29, Train Loss: 0.959159510264219, Validation Loss: 1.513256176320276, Training Time: 121.13298010826111
Epoch 30, Train Loss: 0.944348166241332, Validation Loss: 3.8744651154293983, Training Time: 120.6704568862915
Epoch 31, Train Loss: 0.9346133802567655, Validation Loss: 6.436275308246348, Training Time: 120.79353332519531
Epoch 32, Train Loss: 0.9223909175083999, Validation Loss: 1.8432390684028355, Training Time: 121.03606867790222
Epoch 33, Train Loss: 0.910707720251522, Validation Loss: 5.994999232912635, Training Time: 121.69577670097351
Epoch 34, Train Loss: 0.9025529383124102, Validation Loss: 2.8350628055373903, Training Time: 121.09721374511719
Epoch 35, Train Loss: 0.8876983687033453, Validation Loss: 2.4001516644205023, Training Time: 122.30015778541565
Epoch 36, Train Loss: 0.8819005746686865, Validation Loss: 1.6290026557242712, Training Time: 122.2014708518982
Epoch 37, Train Loss: 0.8717392987770329, Validation Loss: 4.321316046502956, Training Time: 122.48476982116699
Epoch 38, Train Loss: 0.8623858041996336, Validation Loss: 2.523287190813348, Training Time: 119.9270920753479
Epoch 39, Train Loss: 0.8548056176560063, Validation Loss: 7.8502454969893485, Training Time: 123.20408964157104
Epoch 40, Train Loss: 0.8481187601531668, Validation Loss: 3.7942634667325636, Training Time: 120.95966386795044
Epoch 41, Train Loss: 0.8379435246799978, Validation Loss: 3.4390254230264907, Training Time: 122.44029068946838
Epoch 42, Train Loss: 0.8287405080319302, Validation Loss: 4.197374035219915, Training Time: 121.83684182167053
Epoch 43, Train Loss: 0.8199270204832212, Validation Loss: 6.0286784278723005, Training Time: 122.70570635795593
Epoch 44, Train Loss: 0.8144430992630008, Validation Loss: 4.89415350781722, Training Time: 120.74366283416748
Epoch 45, Train Loss: 0.8073366992990948, Validation Loss: 2.7457957171424803, Training Time: 123.05981731414795
Epoch 46, Train Loss: 0.7996424860767813, Validation Loss: 2.919139688992996, Training Time: 122.6503758430481
Epoch 47, Train Loss: 0.7939213677053174, Validation Loss: 5.650433134228911, Training Time: 123.07003593444824
Epoch 48, Train Loss: 0.7861945991592687, Validation Loss: 5.72387205776961, Training Time: 122.24153208732605
Epoch 49, Train Loss: 0.7785577665219744, Validation Loss: 1.6531959662158757, Training Time: 120.79343867301941
Epoch 50, Train Loss: 0.7723691176442897, Validation Loss: 2.270703291265786, Training Time: 122.51302599906921
