Epoch 1, Train Loss: 5.327069187996219, Validation Loss: 4.573332471598149, Training Time: 185.6903636455536
Epoch 2, Train Loss: 2.882303704967771, Validation Loss: 2.6764738001234516, Training Time: 186.12368941307068
Epoch 3, Train Loss: 2.4664904951033, Validation Loss: 2.357962556807741, Training Time: 186.69251418113708
Epoch 4, Train Loss: 2.251930889504992, Validation Loss: 2.298334211298859, Training Time: 189.63912510871887
Epoch 5, Train Loss: 2.101033191918192, Validation Loss: 2.40891410415099, Training Time: 187.66704511642456
Epoch 6, Train Loss: 1.9862942405582704, Validation Loss: 2.379162045173399, Training Time: 189.15823650360107
Epoch 7, Train Loss: 1.8981240418366645, Validation Loss: 2.1376293397167605, Training Time: 188.2780306339264
Epoch 8, Train Loss: 1.827430079219173, Validation Loss: 2.065363273522203, Training Time: 186.21244025230408
Epoch 9, Train Loss: 1.7665882362178353, Validation Loss: 2.0996424496812347, Training Time: 186.62306952476501
Epoch 10, Train Loss: 1.7139147712575076, Validation Loss: 7.061969445873975, Training Time: 188.20188355445862
Epoch 11, Train Loss: 1.6725652815813965, Validation Loss: 1.8478439183413944, Training Time: 187.16347551345825
Epoch 12, Train Loss: 1.628341500926689, Validation Loss: 2.031850560175674, Training Time: 187.5232138633728
Epoch 13, Train Loss: 1.5945926846798972, Validation Loss: 1.999118243457389, Training Time: 186.5728280544281
Epoch 14, Train Loss: 1.55911915167918, Validation Loss: 1.7748648246542493, Training Time: 188.96129393577576
Epoch 15, Train Loss: 1.5293090367168307, Validation Loss: 2.1797086760993265, Training Time: 187.24210166931152
Epoch 16, Train Loss: 1.499101983176206, Validation Loss: 1.9876168579633084, Training Time: 190.1563913822174
Epoch 17, Train Loss: 1.472178882330916, Validation Loss: 1.6806258085807615, Training Time: 186.93479681015015
Epoch 18, Train Loss: 1.4486531688652278, Validation Loss: 1.813519426934285, Training Time: 188.88110065460205
Epoch 19, Train Loss: 1.4230822086003354, Validation Loss: 1.761048770450389, Training Time: 185.9712860584259
Epoch 20, Train Loss: 1.3993271132412646, Validation Loss: 1.583357533927075, Training Time: 188.39000988006592
Epoch 21, Train Loss: 1.3820938651319254, Validation Loss: 1.5021124070142904, Training Time: 189.2494821548462
Epoch 22, Train Loss: 1.3592231285255358, Validation Loss: 1.7781970474655402, Training Time: 187.0605309009552
Epoch 23, Train Loss: 1.3417640695843216, Validation Loss: 1.9213176637831617, Training Time: 188.09944367408752
Epoch 24, Train Loss: 1.3248741982772083, Validation Loss: 1.7917402449293414, Training Time: 188.73906803131104
Epoch 25, Train Loss: 1.3029367698257541, Validation Loss: 1.490643067824142, Training Time: 187.54636931419373
Epoch 26, Train Loss: 1.2892659035977345, Validation Loss: 1.7148054119507021, Training Time: 186.76445174217224
Epoch 27, Train Loss: 1.2697322632919503, Validation Loss: 1.5902158975901661, Training Time: 188.4838089942932
Epoch 28, Train Loss: 1.2563810998028844, Validation Loss: 1.629605245762977, Training Time: 189.48062801361084
Epoch 29, Train Loss: 1.2431145894465987, Validation Loss: 1.9346018485588778, Training Time: 186.04401206970215
Epoch 30, Train Loss: 1.2260391780939677, Validation Loss: 2.8032856968753204, Training Time: 189.13377046585083
Epoch 31, Train Loss: 1.21338203020577, Validation Loss: 3.1165941905772527, Training Time: 186.80676698684692
Epoch 32, Train Loss: 1.1995439132287047, Validation Loss: 1.5054841382779938, Training Time: 188.1980836391449
Epoch 33, Train Loss: 1.1843883057230526, Validation Loss: 1.408039540672122, Training Time: 187.4124255180359
Epoch 34, Train Loss: 1.1693311124342856, Validation Loss: 2.747176765250048, Training Time: 186.30093002319336
Epoch 35, Train Loss: 1.1600448775690855, Validation Loss: 1.4126300243138517, Training Time: 187.79998970031738
Epoch 36, Train Loss: 1.1454774709151059, Validation Loss: 1.3690343153837272, Training Time: 185.98272371292114
Epoch 37, Train Loss: 1.1323386044881818, Validation Loss: 2.3637589038019295, Training Time: 189.07971358299255
Epoch 38, Train Loss: 1.1241092132538864, Validation Loss: 1.6023494438623285, Training Time: 186.88273978233337
Epoch 39, Train Loss: 1.1130239529507109, Validation Loss: 1.346308190509367, Training Time: 187.39497637748718
Epoch 40, Train Loss: 1.0971143267038415, Validation Loss: 1.457947976309771, Training Time: 188.82021307945251
Epoch 41, Train Loss: 1.0906834360782256, Validation Loss: 1.5643251033308525, Training Time: 188.05978918075562
Epoch 42, Train Loss: 1.0782352327556008, Validation Loss: 2.118979738486512, Training Time: 185.81063079833984
Epoch 43, Train Loss: 1.068293923588616, Validation Loss: 2.0635721508106046, Training Time: 189.4252109527588
Epoch 44, Train Loss: 1.0583647012237893, Validation Loss: 1.686031616515308, Training Time: 186.3893005847931
Epoch 45, Train Loss: 1.0497717000360909, Validation Loss: 1.3799171980608915, Training Time: 187.88075590133667
Epoch 46, Train Loss: 1.0392442434801648, Validation Loss: 1.390857518414093, Training Time: 185.67016458511353
Epoch 47, Train Loss: 1.0309589002089403, Validation Loss: 1.3508367227189708, Training Time: 186.5518400669098
Epoch 48, Train Loss: 1.0235697046584027, Validation Loss: 1.5056537797072433, Training Time: 186.50472450256348
Epoch 49, Train Loss: 1.0135034353202719, Validation Loss: 1.565073610629086, Training Time: 185.5228009223938
Epoch 50, Train Loss: 1.0035205998028867, Validation Loss: 1.6811766902568135, Training Time: 189.76313757896423
