Epoch 1, Train Loss: 16.49536861319725, Validation Loss: 2.078648547152095, Training Time: 16.788477659225464
Epoch 2, Train Loss: 2.041505208101328, Validation Loss: 1.9594900067180867, Training Time: 16.556759357452393
Epoch 3, Train Loss: 1.5618652349887139, Validation Loss: 1.3587058051983336, Training Time: 16.774093866348267
Epoch 4, Train Loss: 1.1552129377711498, Validation Loss: 1.9509342191719847, Training Time: 16.7245032787323
Epoch 5, Train Loss: 0.9957277528141733, Validation Loss: 1.053084858922334, Training Time: 16.624183177947998
Epoch 6, Train Loss: 0.8967110133816918, Validation Loss: 1.3612758135149765, Training Time: 17.217365980148315
Epoch 7, Train Loss: 0.8433463990967285, Validation Loss: 1.2944295071990441, Training Time: 17.33281111717224
Epoch 8, Train Loss: 0.8142804557119696, Validation Loss: 0.9193072750928978, Training Time: 16.847888946533203
Epoch 9, Train Loss: 0.7992710292660553, Validation Loss: 1.2937522229168807, Training Time: 17.31148076057434
Epoch 10, Train Loss: 0.7413705810217668, Validation Loss: 2.1978250671993798, Training Time: 17.848067045211792
Epoch 11, Train Loss: 0.7109881304473915, Validation Loss: 0.8537114280072077, Training Time: 17.605412483215332
Epoch 12, Train Loss: 0.698129810753181, Validation Loss: 0.9466146810598352, Training Time: 16.94222402572632
Epoch 13, Train Loss: 0.6775555701361297, Validation Loss: 0.8599493832539759, Training Time: 17.046327114105225
Epoch 14, Train Loss: 0.6821982808999687, Validation Loss: 1.5064190840075302, Training Time: 17.72415280342102
Epoch 15, Train Loss: 0.656720234407396, Validation Loss: 0.6964524132672605, Training Time: 17.148448944091797
Epoch 16, Train Loss: 0.6472551129359994, Validation Loss: 0.692255232424284, Training Time: 15.758868217468262
Epoch 17, Train Loss: 0.6393264704410987, Validation Loss: 0.7221360670793675, Training Time: 17.297581911087036
Epoch 18, Train Loss: 0.6381690216612231, Validation Loss: 1.1146445825325986, Training Time: 17.725443124771118
Epoch 19, Train Loss: 0.6239307986609632, Validation Loss: 0.6923009191490458, Training Time: 17.364965677261353
Epoch 20, Train Loss: 0.6118062535146841, Validation Loss: 0.7100599013588499, Training Time: 17.42000985145569
Epoch 21, Train Loss: 0.6021172956674087, Validation Loss: 0.6610090541180316, Training Time: 17.048806190490723
Epoch 22, Train Loss: 0.5957559384262963, Validation Loss: 2.11094101765624, Training Time: 17.23241424560547
Epoch 23, Train Loss: 0.5928230658522262, Validation Loss: 1.0591848726735427, Training Time: 16.817551136016846
Epoch 24, Train Loss: 0.576290295400817, Validation Loss: 0.7470968696656668, Training Time: 16.87071418762207
Epoch 25, Train Loss: 0.571812777667329, Validation Loss: 0.8640441507706523, Training Time: 16.92920732498169
Epoch 26, Train Loss: 0.5706604988105651, Validation Loss: 0.6303953930701951, Training Time: 16.88768434524536
Epoch 27, Train Loss: 0.5900148197051194, Validation Loss: 0.6439642742040733, Training Time: 17.334786891937256
Epoch 28, Train Loss: 0.5571121540987277, Validation Loss: 0.6170655064469804, Training Time: 17.49671697616577
Epoch 29, Train Loss: 0.5595073051916557, Validation Loss: 0.6178984315077822, Training Time: 17.234252452850342
Epoch 30, Train Loss: 0.5485652797510566, Validation Loss: 0.6481669494718246, Training Time: 17.162678956985474
Epoch 31, Train Loss: 0.5432985157066161, Validation Loss: 0.9906639176889682, Training Time: 17.140102863311768
Epoch 32, Train Loss: 0.5461660641598339, Validation Loss: 0.7517784437665014, Training Time: 16.621366024017334
Epoch 33, Train Loss: 0.5371189299601559, Validation Loss: 0.8093498922363092, Training Time: 16.977102994918823
Epoch 34, Train Loss: 0.528700306202195, Validation Loss: 1.9172226370188237, Training Time: 17.249316215515137
Epoch 35, Train Loss: 0.5304666843596562, Validation Loss: 0.6121398309418095, Training Time: 16.631603717803955
Epoch 36, Train Loss: 0.5339337098160596, Validation Loss: 0.6305719233258852, Training Time: 16.95145320892334
Epoch 37, Train Loss: 0.5185266629193221, Validation Loss: 0.8632460038091474, Training Time: 16.90256357192993
Epoch 38, Train Loss: 0.5111546687725808, Validation Loss: 0.6372666303783184, Training Time: 17.047129154205322
Epoch 39, Train Loss: 0.5162952918310467, Validation Loss: 0.7048980519007345, Training Time: 16.89842963218689
Epoch 40, Train Loss: 0.5046578387625081, Validation Loss: 0.9787903624517384, Training Time: 16.860506057739258
Epoch 41, Train Loss: 0.5047539008617266, Validation Loss: 0.6357131207836939, Training Time: 16.70220112800598
Epoch 42, Train Loss: 0.5010292117113154, Validation Loss: 0.8211631408932516, Training Time: 17.154847383499146
Epoch 43, Train Loss: 0.4973011895403458, Validation Loss: 0.5914954955838873, Training Time: 16.91003704071045
Epoch 44, Train Loss: 0.49476741187759465, Validation Loss: 0.6405961029820194, Training Time: 16.944114208221436
Epoch 45, Train Loss: 0.49132229357962065, Validation Loss: 0.6224801942336102, Training Time: 17.154462337493896
Epoch 46, Train Loss: 0.4886689666458401, Validation Loss: 1.275992244212945, Training Time: 17.613571405410767
Epoch 47, Train Loss: 0.4831663740896837, Validation Loss: 1.0367456745213364, Training Time: 16.85694694519043
Epoch 48, Train Loss: 0.4882123302887592, Validation Loss: 0.6651189704646375, Training Time: 17.43770122528076
Epoch 49, Train Loss: 0.4836989323512288, Validation Loss: 0.6875456998768025, Training Time: 17.160134077072144
Epoch 50, Train Loss: 0.4754550719350775, Validation Loss: 0.9651800327457101, Training Time: 18.015718460083008
